numer ramki	temp_defekt_sreddnica10mm_glebokosc1mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
217	24.9736	25.0693	25.0787	24.9796	25.0257
218	24.9998	25.1342	25.0501	24.9519	25.0615
219	24.9942	25.1137	25.061	24.9897	25.0302
220	24.9985	25.0645	25.0787	24.9597	25.0238
221	24.9937	25.0714	25.1421	24.9515	25.0523
222	24.9985	25.1075	25.1261	24.9896	25.0349
223	24.9713	25.1056	25.0911	24.9726	25.0677
224	24.9997	25.1274	25.1075	24.9891	25.0677
225	24.9623	25.0714	25.0852	24.9783	25.0136
226	24.9832	25.0654	25.1264	24.9863	25.0254
227	25.0051	25.0893	25.0869	24.9687	25.0431
228	24.984	25.0924	25.1378	24.9679	25.1088
229	25.0173	25.1132	25.0557	24.9714	25.0293
230	24.9997	25.0776	25.0717	24.9695	25.0465
231	25.0372	25.0986	25.0869	24.9783	25.0139
232	25.0197	25.0962	25.1068	24.9817	25.0045
233	25.0029	25.0886	25.0709	24.9367	25.0575
234	24.9731	25.1055	25.1002	24.9593	25.0365
235	24.9702	25.0897	25.0437	24.942	25.0281
236	25.0035	25.095	25.074	24.9736	25.0235
237	25.0573	25.1244	25.115	24.9336	25.0523
238	25.001	25.1105	25.1037	24.9852	25.04
239	24.999	25.0631	25.0827	24.9373	25.0263
240	24.9801	25.0918	25.1081	24.945	25.0622
241	24.9802	25.0923	25.0633	24.9783	25.0349
242	24.9998	25.0652	25.1044	24.9736	25.0677
243	24.9461	25.0923	25.1068	24.9381	25.0415
244	24.981	25.0923	25.0773	24.9763	25.0702
245	25.0202	25.1485	25.0852	24.9596	25.0312
246	24.9749	25.0939	25.1367	24.9729	25.0458
247	24.9831	25.1137	25.0704	24.9441	25.0457
248	25.0149	25.078	25.0764	24.952	25.0459
249	24.999	25.073	25.0668	24.956	25.0668
250	24.9889	25.071	25.061	24.9695	25.0242
251	24.999	25.1346	25.0988	24.9476	25.0491
252	25.0197	25.113	25.1143	24.9735	25.0991
253	25.0143	25.1341	25.0704	24.9524	25.0312
254	25.0149	25.1342	25.1204	24.9593	25.0247
255	24.9636	25.1172	25.0856	24.9677	25.0415
256	25.0247	25.0714	25.0926	24.9687	25.0037
257	24.9706	25.1763	25.0421	24.989	25.0293
258	24.97	25.0704	25.0689	24.945	25.0037
259	24.9802	25.0907	25.0763	24.9767	25.0473
260	24.9786	25.0855	25.1044	24.9782	25.0281
261	25.0079	25.071	25.0935	24.9436	25.0683
262	24.9731	25.073	25.0935	25.0286	24.9991
263	24.9997	25.1129	25.0764	24.9483	25.0886
264	24.9539	25.0776	25.0748	24.9476	25.0383
265	24.9894	25.0942	25.0869	24.9796	25.0069
266	25.0017	25.0714	25.0821	25.0123	25.0281
267	24.9791	25.1341	25.0856	24.9759	25.0415
268	25.0243	25.1096	25.0935	24.9533	25.0203
269	25.0079	25.0876	25.1151	24.9995	25.0203
270	24.9736	25.0821	25.1085	24.936	25.0677
271	24.979	25.0893	25.1033	24.9553	25.0247
272	24.9937	25.1137	25.061	24.9591	25.0102
273	25.0017	25.0893	25.0804	24.9597	25.0473
274	24.9769	25.0923	25.1507	24.9591	25.0491
275	25.0257	25.0917	25.0775	24.9296	25.0188
276	24.9529	25.0923	25.0355	24.9726	25.0733
277	24.983	25.0464	25.1204	24.9593	25.0457
278	25.0079	25.0924	25.098	24.9441	24.9992
279	25.0143	25.0923	25.0764	24.9783	25.04
280	24.9985	25.1341	25.0716	24.9394	25.0245
281	24.9583	25.0913	25.0653	24.9729	25.0279
282	24.999	25.1043	25.1073	24.9425	25.0247
283	24.9802	25.0626	25.0859	24.9759	25.0312
284	25.0188	25.0917	25.0787	24.9441	25.0547
285	24.9791	25.0927	25.0731	24.9547	25.0152
286	24.9985	25.0752	25.0639	24.9327	25.0249
287	24.9623	25.0607	25.0636	25.0123	25.0174
288	24.9529	25.0717	25.0989	24.9976	25.0312
289	24.9791	25.0717	25.1204	24.9515	25.0242
290	25.0188	25.1316	25.0775	24.9796	25.0312
291	24.9942	25.0922	25.0913	24.9902	25.0381
292	24.9769	25.0643	25.0748	24.9586	25.0102
293	25.0425	25.0865	25.0903	24.967	25.0777
294	24.9782	25.0452	25.0437	24.9983	25.0671
295	24.9708	25.155	25.0496	24.9309	25.0136
296	24.9786	25.0788	25.0923	24.9305	25.0263
297	24.9786	25.0717	25.0915	24.9523	25.0256
298	24.9791	25.0924	25.0704	25.0064	25.0473
299	24.9667	25.0853	25.0557	24.9701	25.0191
300	24.9952	25.0842	25.0652	24.9899	25.04
301	24.984	25.1234	25.0865	24.9605	25.0466
302	24.9837	25.1055	25.0548	24.9571	25.0247
303	25.0079	25.113	25.0935	24.9769	25.0683
304	25.0101	25.113	25.0865	24.9591	25.0466
305	24.9702	25.0939	25.0849	24.9502	25.0671
306	24.9803	25.0785	25.0568	24.964	25.0174
307	24.9734	25.1065	25.1087	24.9809	25.0668
308	24.9949	25.1096	25.0916	24.9582	25.0473
309	24.9745	25.0714	25.1134	25.0173	25.0174
310	24.982	25.0923	25.0869	24.9645	25.0523
311	24.9802	25.074	25.0869	24.9695	25.0386
312	25.0017	25.0575	25.068	24.9396	25.0279
313	25.0367	25.0924	25.098	24.9625	25.0466
314	24.999	25.1455	25.0809	24.9608	25.0473
315	24.9997	25.0684	25.0773	24.9701	25.0777
316	24.9731	25.0904	25.128	24.9817	25.0473
317	24.9745	25.113	25.0689	24.9277	25.0473
318	24.9827	25.1129	25.1386	24.9523	25.0221
319	24.9997	25.0847	25.0935	24.9995	25.0563
320	24.981	25.0643	25.0919	24.9852	24.9921
321	25.0079	25.0904	25.0852	24.9817	25.0188
322	24.9778	25.0893	25.0704	24.9384	25.068
323	24.999	25.1093	25.0717	24.9606	24.9979
324	25.0245	25.0654	25.0773	24.9971	25.0139
325	24.9985	25.0886	25.0773	24.9477	25.0523
326	25.0404	25.0643	25.0989	24.9701	25.0247
327	24.9802	25.0847	25.0869	24.9606	25.0247
328	25.0398	25.0897	25.0514	24.9995	25.04
329	24.9754	25.0776	25.071	24.9608	25.0191
330	24.9736	25.0787	25.0846	24.9571	25.0202
331	25.005	25.0923	25.1289	24.9764	25.0892
332	25.0173	25.0923	25.0859	24.9393	25.0991
333	25.0159	25.0923	25.0653	24.9735	25.0383
334	25.0002	25.1123	25.1002	24.9605	25.0459
335	24.9803	25.0864	25.0869	24.9637	25.0523
336	24.999	25.1274	25.0773	24.9783	25.0281
337	24.9952	25.0776	25.0989	24.9729	25.0892
338	24.981	25.0701	25.0653	24.9783	25.0576
339	24.9778	25.086	25.0835	24.9695	25.0349
340	24.9849	25.1076	25.099	24.9783	25.0386
341	25.0349	25.0907	25.142	24.9428	25.0349
342	24.9786	25.1032	25.072	24.9899	25.0312
343	24.9831	25.0923	25.0903	24.9588	25.0671
344	25.0177	25.1076	25.0869	24.9908	25.0055
345	24.9603	25.0939	25.0787	24.9591	25.0315
346	24.9527	25.0923	25.0587	24.9571	25.0281
347	24.9832	25.061	25.0643	24.9731	25.0104
348	24.983	25.0962	25.0636	24.9706	25.0671
349	24.981	25.0814	25.1471	24.9608	25.0473
350	25.0037	25.1305	25.0698	24.9605	25.0174
351	24.9937	25.1134	25.0643	24.992	25.0135
352	24.9672	25.1663	25.0653	24.9721	25.0027
353	24.9778	25.078	25.1218	24.9899	25.0038
354	25.0091	25.1342	25.0775	24.9706	25.0465
355	24.999	25.0999	25.098	24.9695	25.0563
356	24.9803	25.1046	25.1085	24.9426	25.0267
357	25.0143	25.078	25.083	24.9726	25.0037
358	25.0408	25.0819	25.0935	24.9372	25.0523
359	24.9949	25.0927	25.0689	25.0008	25.1205
360	25.0173	25.1025	25.1204	24.9783	25.0403
361	24.9873	25.1032	25.1087	24.9861	25.0349
362	24.9592	25.0734	25.1204	24.9269	25.0242
363	25.001	25.065	25.0652	24.9475	25.0458
364	25.0101	25.0359	25.0821	24.9549	25.0203
365	25.0197	25.0887	25.1068	24.9748	25.0372
366	24.999	25.0835	25.0852	24.95	25.0671
367	24.9592	25.1341	25.0869	24.9927	25.0263
368	25.0079	25.061	25.0787	24.9686	25.0201
369	24.9547	25.0686	25.0504	24.9547	25.0603
370	25.005	25.1341	25.072	24.9679	25.0572
371	25.0173	25.0714	25.0935	24.9817	25.0293
372	24.9535	25.0821	25.0787	24.9483	25.0404
373	25.0037	25.0489	25.098	24.9554	25.0102
374	24.9952	25.0654	25.1044	25.0104	25.0191
375	25.0245	25.1522	25.0775	24.9381	25.0263
376	24.9894	25.0999	25.0821	24.9553	25.0263
377	24.9623	25.0573	25.0852	24.9396	25.0056
378	25.0044	25.1129	25.0731	24.9908	25.0293
