numer ramki	temp_defekt_srednica10mm_glebokosc3mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
374	24.9348	25.0122	24.9354	24.791	24.9263
375	24.8596	25.0052	24.9227	24.8627	24.9016
376	24.9087	24.9831	24.9743	24.8141	24.9
377	24.8648	24.9705	24.9149	24.8204	24.8715
378	24.8872	24.9705	24.9083	24.8748	24.8858
379	24.8874	24.9914	24.9329	24.8123	24.9369
380	24.921	24.9809	24.8952	24.8332	24.8824
381	24.8965	24.9548	24.9096	24.8304	24.8957
382	24.9245	24.9621	24.9134	24.819	24.8951
383	24.8792	24.9967	24.9307	24.8389	24.9226
384	24.8883	24.9315	24.9061	24.8564	24.8777
385	24.9075	24.9446	24.9307	24.8142	24.9031
386	24.8993	24.9705	24.9083	24.8204	24.8846
387	24.852	24.9496	24.929	24.8414	24.9005
388	24.8872	24.9972	24.9114	24.8479	24.8771
389	24.9075	24.9496	24.9321	24.8279	24.9045
390	24.8662	24.9633	24.9083	24.8268	24.9215
391	24.8957	24.9782	24.8851	24.8391	24.89
392	24.9279	24.9551	24.9311	24.8268	24.9192
393	24.8576	24.9601	24.9114	24.9111	24.9402
394	24.9245	24.9467	24.9122	24.843	24.896
395	24.9491	24.9573	24.9268	24.8564	24.9441
396	24.8761	24.9831	24.9402	24.8431	24.8963
397	24.9024	24.9319	24.906	24.8398	24.9193
398	24.885	24.9387	24.9268	24.8208	24.9377
399	24.9289	24.9681	24.9402	24.8304	24.9129
400	24.8634	24.9681	24.9101	24.801	24.9369
401	24.8862	24.9581	24.9388	24.849	24.8892
402	24.878	24.9705	24.8876	24.8312	24.9193
403	24.9239	24.9799	24.9659	24.8353	24.9888
404	24.8862	24.983	24.9246	24.8279	24.8984
405	24.8565	24.9831	24.919	24.8571	24.8984
406	24.8648	24.9749	24.9086	24.7989	24.8984
407	24.959	25.0201	24.9006	24.869	24.9022
408	24.9289	24.9831	24.9268	24.8419	24.8775
409	24.9063	24.9903	24.9339	24.8353	24.8986
410	24.8878	24.9441	24.929	24.869	24.8796
411	24.9077	24.9551	24.9035	24.8419	24.9277
412	24.8918	24.9581	24.9083	24.8419	24.9226
413	24.904	24.9522	24.9195	24.869	24.8806
414	24.885	24.9967	24.9246	24.8419	24.8984
415	24.8576	24.9387	24.9298	24.8419	24.8796
416	24.9031	24.9621	24.9147	24.8564	24.8646
417	24.9075	24.9791	24.929	24.8219	24.9005
418	24.892	24.954	24.9506	24.8353	24.9787
419	24.9191	24.9758	24.9237	24.7989	24.9195
420	24.9097	24.9807	24.9083	24.8564	24.8986
421	24.9309	24.9659	24.9536	24.8312	24.8905
422	24.8809	24.9705	24.9268	24.8187	24.9111
423	24.8648	24.9548	24.8907	24.8248	24.9005
424	24.8862	24.9671	24.9122	24.8848	24.9031
425	24.8883	24.9799	24.9075	24.8419	24.9288
426	24.8869	24.9888	24.8801	24.8208	24.9103
427	24.852	24.9734	24.9083	24.8208	24.9005
428	24.8734	24.9446	24.9471	24.8208	24.9255
429	24.874	24.9522	24.8901	24.8121	24.916
430	24.9075	25.0041	24.9158	24.7989	24.9263
431	24.903	24.9705	24.9061	24.81	24.8984
432	24.9065	24.9681	24.9408	24.836	24.8828
433	24.9289	24.9552	24.93	24.8204	24.8846
434	24.8963	24.9749	24.9075	24.8218	24.9438
435	24.879	25.0331	24.9329	24.849	24.9042
436	24.8825	24.9572	24.9307	24.7967	24.9133
437	24.8636	24.9781	24.8989	24.8268	24.9402
438	24.8658	24.9446	24.899	24.8317	24.9078
439	24.9242	24.9695	24.9083	24.8353	24.9133
440	24.9279	24.9799	24.9682	24.8564	24.9216
441	24.9086	24.9612	24.9061	24.8339	24.9022
