numer ramki	temp_defekt_srednica10mm_glebokosc0,7mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
140	24.8168	24.8812	24.8106	24.761	24.8079
141	24.8116	24.8821	24.8381	24.7854	24.8917
142	24.7918	24.906	24.8182	24.7684	24.8249
143	24.7717	24.8848	24.8393	24.7994	24.7886
144	24.8084	24.8822	24.8488	24.7461	24.8156
145	24.799	24.9086	24.8302	24.7302	24.8601
146	24.8168	24.8702	24.8196	24.7565	24.8333
147	24.7982	24.874	24.8529	24.7463	24.8364
148	24.8239	24.8803	24.8463	24.7461	24.8444
149	24.7763	24.8598	24.8067	24.7241	24.8345
150	24.7809	24.8614	24.8461	24.761	24.855
151	24.824	24.8906	24.8391	24.7427	24.8317
152	24.8181	24.8482	24.8399	24.7312	24.8228
153	24.7889	24.8728	24.7967	24.8215	24.8548
154	24.7715	24.9012	24.8036	24.7743	24.8115
155	24.7804	24.9122	24.8179	24.7337	24.8629
156	24.7981	24.8848	24.8141	24.7513	24.8847
157	24.8263	24.9038	24.8067	24.7899	24.8308
158	24.8034	24.8656	24.8158	24.7642	24.8171
159	24.8655	24.8702	24.8279	24.7641	24.817
160	24.8211	24.8803	24.8391	24.7617	24.8141
161	24.8435	24.8787	24.8318	24.7463	24.8589
162	24.7894	24.8975	24.8112	24.7603	24.8698
163	24.8104	24.873	24.8196	24.7817	24.8228
164	24.8411	24.9086	24.8523	24.768	24.8372
165	24.8222	24.8882	24.8248	24.7536	24.8032
166	24.7809	24.8545	24.8121	24.7646	24.8686
167	24.8037	24.8734	24.843	24.8337	24.8548
168	24.7981	24.8702	24.8655	24.7623	24.8388
169	24.8201	24.9063	24.8119	24.7278	24.8333
170	24.8053	24.899	24.8061	24.7461	24.8372
171	24.8035	24.9134	24.8339	24.7317	24.7955
172	24.7962	24.8803	24.849	24.7585	24.8333
173	24.8011	24.8561	24.8248	24.7899	24.8444
174	24.8263	24.8692	24.8612	24.7554	24.8633
175	24.8445	24.9136	24.849	24.8126	24.8629
176	24.799	24.9085	24.8483	24.7827	24.8847
177	24.7894	24.8933	24.8265	24.768	24.8228
178	24.8084	24.8938	24.8206	24.752	24.8159
179	24.8222	24.8907	24.8158	24.7422	24.8196
180	24.8034	24.8945	24.8353	24.7767	24.8481
181	24.8258	24.9812	24.8295	24.7899	24.809
182	24.8263	24.9063	24.8095	24.7726	24.8534
183	24.7726	24.9134	24.8141	24.7899	24.8629
184	24.804	24.8661	24.7967	24.7441	24.8047
185	24.8281	24.8633	24.8268	24.8279	24.804
186	24.8087	24.8957	24.836	24.7901	24.8228
187	24.8114	24.8603	24.8169	24.768	24.8629
188	24.8177	24.8871	24.8483	24.7684	24.866
189	24.8181	24.8486	24.8816	24.7509	24.8072
190	24.8168	24.8822	24.815	24.8337	24.8285
191	24.8484	24.9691	24.848	24.7461	24.8372
192	24.7813	24.8516	24.8436	24.7684	24.8372
193	24.7987	24.8955	24.8818	24.7817	24.819
194	24.7981	24.8596	24.8339	24.7392	24.8388
195	24.8211	24.9035	24.8057	24.7241	24.8534
196	24.7787	24.874	24.8351	24.7237	24.8444
197	24.8263	24.8787	24.8363	24.7587	24.8411
198	24.8034	24.9086	24.7964	24.7582	24.8334
199	24.8168	24.8821	24.8317	24.7768	24.8047
200	24.8025	24.899	24.8317	24.7642	24.8345
201	24.7853	24.8733	24.8318	24.768	24.8171
202	24.7751	24.8813	24.8539	24.7461	24.8098
203	24.8035	24.8785	24.8529	24.7823	24.8821
204	24.8253	24.915	24.8128	24.7905	24.849
205	24.8034	24.9168	24.7986	24.7397	24.8264
206	24.7803	24.8734	24.8106	24.749	24.8228
207	24.8042	24.9302	24.8391	24.7302	24.8156
208	24.8087	24.8763	24.7894	24.7671	24.8629
209	24.8265	24.9099	24.8312	24.7441	24.8316
210	24.8034	24.8871	24.8134	24.7598	24.8629
211	24.8261	24.8848	24.8609	24.788	24.8411
212	24.7929	24.9383	24.8179	24.7899	24.8258
213	24.8016	24.8633	24.8347	24.7312	24.8481
214	24.804	24.8975	24.8265	24.7509	24.8308
215	24.8013	24.8661	24.8107	24.7461	24.8444
216	24.8493	24.8709	24.8198	24.7426	24.8847
217	24.795	24.8879	24.8488	24.8337	24.862
218	24.795	24.8752	24.8279	24.7774	24.8147
219	24.7585	24.8848	24.8169	24.7497	24.8411
220	24.7809	24.943	24.8064	24.7354	24.8876
221	24.795	24.8871	24.8332	24.8042	24.8118
222	24.8553	24.895	24.8231	24.7603	24.866
223	24.7898	24.8516	24.8141	24.768	24.8629
224	24.8016	24.9215	24.8735	24.7513	24.8444
225	24.7889	24.8787	24.849	24.7935	24.7901
226	24.803	24.9204	24.7856	24.7642	24.8552
227	24.7804	24.8848	24.8265	24.7469	24.8388
228	24.8016	24.8868	24.8268	24.7606	24.8444
229	24.7957	24.8709	24.8208	24.7767	24.8481
230	24.7981	24.8871	24.8339	24.7497	24.8228
231	24.7838	24.8501	24.8057	24.7242	24.8481
232	24.7946	24.895	24.8953	24.7873	24.8444
233	24.8326	24.9086	24.8272	24.7958	24.8333
234	24.7705	24.9255	24.8117	24.7603	24.8465
235	24.8035	24.9166	24.8307	24.7498	24.8228
236	24.803	24.8871	24.8299	24.7739	24.8118
237	24.8263	24.8523	24.8181	24.7397	24.8333
238	24.7987	24.895	24.8718	24.8118	24.8056
